kabupaten/kota,tahun,jenis_komoditas_perikanan,volume_produksi,nilai_produksi
Malang,2021,Bandeng,1,36000
Jember,2021,Bandeng,18,497560
Banyuwangi,2021,Bandeng,43,755715
Situbondo,2021,Bandeng,23,381200
Probolinggo,2021,Bandeng,652,9031470
Pasuruan,2021,Bandeng,4401,57766075
Sidoarjo,2021,Bandeng,34549,760075800
Bojonegoro,2021,Bandeng,109,1965006
Tuban,2021,Bandeng,6835,132179050
Lamongan,2021,Bandeng,22333,356482557
Gresik,2021,Bandeng,90398,1438801857
Bangkalan,2021,Bandeng,2276,45292000
Sampang,2021,Bandeng,503,10052060
Pamekasan,2021,Bandeng,3,53622
Sumenep,2021,Bandeng,449,11448775
Kota Probolinggo,2021,Bandeng,30,480452
Kota Pasuruan,2021,Bandeng,1462,23664959
Kota Surabaya,2021,Bandeng,6304,207313967
Pacitan,2021,Lele,442,7512793
Ponorogo,2021,Lele,1594,25504832
Trenggalek,2021,Lele,3583,55531602
Tulungagung,2021,Lele,10897,169167813
Blitar,2021,Lele,9923,143809400
Kediri,2021,Lele,16280,240196915
Malang,2021,Lele,5531,88492400
Lumajang,2021,Lele,944,14869048
Jember,2021,Lele,8417,152300220
Banyuwangi,2021,Lele,4862,72935325
Bondowoso,2021,Lele,662,14570556
Situbondo,2021,Lele,268,4289664
Probolinggo,2021,Lele,763,11769570
Pasuruan,2021,Lele,4306,67998977
Sidoarjo,2021,Lele,21542,344673456
Mojokerto,2021,Lele,626,10016000
Jombang,2021,Lele,7266,116254400
Nganjuk,2021,Lele,9374,147984015
Madiun,2021,Lele,2316,35891800
Magetan,2021,Lele,1494,23905600
Ngawi,2021,Lele,2757,43448713
Bojonegoro,2021,Lele,2927,46836160
Tuban,2021,Lele,11676,198487206
Lamongan,2021,Lele,3394,52139972
Gresik,2021,Lele,1215,16841371
Bangkalan,2021,Lele,339,5762165
Sampang,2021,Lele,123,2214900
Pamekasan,2021,Lele,523,9048976
Sumenep,2021,Lele,282,4791620
Kota Kediri,2021,Lele,150,2352800
Kota Blitar,2021,Lele,101,1545600
Kota Malang,2021,Lele,126,2207625
Kota Probolinggo,2021,Lele,208,3228460
Kota Pasuruan,2021,Lele,271,4059165
Kota Mojokerto,2021,Lele,185,3097950
Kota Madiun,2021,Lele,177,2832768
Kota Surabaya,2021,Lele,868,15615810
Kota Batu,2021,Lele,25,411741
Pacitan,2021,Udang Vannamei,1260,88203150
Trenggalek,2021,Udang Vannamei,490,33137020
Tulungagung,2021,Udang Vannamei,626,37534500
Blitar,2021,Udang Vannamei,373,29856000
Malang,2021,Udang Vannamei,1526,100597832
Lumajang,2021,Udang Vannamei,833,43785000
Jember,2021,Udang Vannamei,1484,117881550
Banyuwangi,2021,Udang Vannamei,18659,1119546000
Situbondo,2021,Udang Vannamei,10736,611563150
Probolinggo,2021,Udang Vannamei,11123,801137300
Pasuruan,2021,Udang Vannamei,4978,346187711
Sidoarjo,2021,Udang Vannamei,13220,819328880
Tuban,2021,Udang Vannamei,10871,558886320
Lamongan,2021,Udang Vannamei,17380,760735510
Gresik,2021,Udang Vannamei,13568,748730369
Bangkalan,2021,Udang Vannamei,2912,165692540
Sampang,2021,Udang Vannamei,204,14139170
Pamekasan,2021,Udang Vannamei,109,5537505
Sumenep,2021,Udang Vannamei,6707,392830334
Kota Probolinggo,2021,Udang Vannamei,50,3037790
Kota Pasuruan,2021,Udang Vannamei,60,3678290
Kota Surabaya,2021,Udang Vannamei,1784,115208775
